Time,Price
2019-11-13 13:38:59.999,8778.48
2019-11-13 13:39:59.999,8778.04
2019-11-13 13:40:59.999,8783.77
2019-11-13 13:41:59.999,8782.02
2019-11-13 13:42:59.999,8800.98
2019-11-13 13:43:59.999,8784.1
2019-11-13 13:44:59.999,8770.78
2019-11-13 13:45:59.999,8769.08
2019-11-13 13:46:59.999,8760.95
2019-11-13 13:47:59.999,8762.98
2019-11-13 13:48:59.999,8767.53
2019-11-13 13:49:59.999,8762.21
2019-11-13 13:50:59.999,8767.38
2019-11-13 13:51:59.999,8762.67
2019-11-13 13:52:59.999,8758.74
2019-11-13 13:53:59.999,8756.01
2019-11-13 13:54:59.999,8758.38
2019-11-13 13:55:59.999,8760.17
2019-11-13 13:56:59.999,8761.05
2019-11-13 13:57:59.999,8756.58
2019-11-13 13:58:59.999,8758.56
2019-11-13 13:59:59.999,8763.69
2019-11-13 14:00:59.999,8763.01
2019-11-13 14:01:59.999,8760.75
2019-11-13 14:02:59.999,8755.1
2019-11-13 14:03:59.999,8759.97
2019-11-13 14:04:59.999,8760.24
2019-11-13 14:05:59.999,8762.13
2019-11-13 14:06:59.999,8762.0
2019-11-13 14:07:59.999,8762.0
2019-11-13 14:08:59.999,8759.21
2019-11-13 14:09:59.999,8755.45
2019-11-13 14:10:59.999,8756.07
2019-11-13 14:11:59.999,8750.48
2019-11-13 14:12:59.999,8743.41
2019-11-13 14:13:59.999,8747.16
2019-11-13 14:14:59.999,8741.19
2019-11-13 14:15:59.999,8744.06
2019-11-13 14:16:59.999,8750.0
2019-11-13 14:17:59.999,8754.55
2019-11-13 14:18:59.999,8746.73
2019-11-13 14:19:59.999,8745.23
2019-11-13 14:20:59.999,8742.52
2019-11-13 14:21:59.999,8742.04
2019-11-13 14:22:59.999,8746.69
2019-11-13 14:23:59.999,8748.05
2019-11-13 14:24:59.999,8747.9
2019-11-13 14:25:59.999,8749.81
2019-11-13 14:26:59.999,8743.19
2019-11-13 14:27:59.999,8743.23
2019-11-13 14:28:59.999,8745.68
2019-11-13 14:29:59.999,8744.95
2019-11-13 14:30:59.999,8743.54
2019-11-13 14:31:59.999,8734.86
2019-11-13 14:32:59.999,8736.56
2019-11-13 14:33:59.999,8741.95
2019-11-13 14:34:59.999,8745.42
2019-11-13 14:35:59.999,8749.11
2019-11-13 14:36:59.999,8752.05
2019-11-13 14:37:59.999,8748.9
2019-11-13 14:38:59.999,8747.99
2019-11-13 14:39:59.999,8744.53
2019-11-13 14:40:59.999,8742.75
2019-11-13 14:41:59.999,8747.12
2019-11-13 14:42:59.999,8740.23
2019-11-13 14:43:59.999,8737.86
2019-11-13 14:44:59.999,8746.04
2019-11-13 14:45:59.999,8748.27
2019-11-13 14:46:59.999,8746.05
2019-11-13 14:47:59.999,8747.34
2019-11-13 14:48:59.999,8740.05
2019-11-13 14:49:59.999,8740.97
2019-11-13 14:50:59.999,8747.95
2019-11-13 14:51:59.999,8750.97
2019-11-13 14:52:59.999,8752.94
2019-11-13 14:53:59.999,8748.09
2019-11-13 14:54:59.999,8752.43
2019-11-13 14:55:59.999,8757.78
2019-11-13 14:56:59.999,8752.85
2019-11-13 14:57:59.999,8749.73
2019-11-13 14:58:59.999,8755.24
2019-11-13 14:59:59.999,8758.36
2019-11-13 15:00:59.999,8755.44
2019-11-13 15:01:59.999,8756.46
2019-11-13 15:02:59.999,8755.67
2019-11-13 15:03:59.999,8751.91
2019-11-13 15:04:59.999,8751.91
2019-11-13 15:05:59.999,8749.85
2019-11-13 15:06:59.999,8745.53
2019-11-13 15:07:59.999,8745.15
2019-11-13 15:08:59.999,8747.08
2019-11-13 15:09:59.999,8745.04
2019-11-13 15:10:59.999,8747.48
2019-11-13 15:11:59.999,8745.0
2019-11-13 15:12:59.999,8739.54
2019-11-13 15:13:59.999,8740.17
2019-11-13 15:14:59.999,8740.14
2019-11-13 15:15:59.999,8742.14
2019-11-13 15:16:59.999,8743.85
2019-11-13 15:17:59.999,8748.07
2019-11-13 15:18:59.999,8750.15
2019-11-13 15:19:59.999,8752.05
2019-11-13 15:20:59.999,8754.1
2019-11-13 15:21:59.999,8758.26
2019-11-13 15:22:59.999,8757.89
2019-11-13 15:23:59.999,8764.08
2019-11-13 15:24:59.999,8774.25
2019-11-13 15:25:59.999,8768.78
2019-11-13 15:26:59.999,8765.85
2019-11-13 15:27:59.999,8753.64
2019-11-13 15:28:59.999,8764.3
2019-11-13 15:29:59.999,8765.0
2019-11-13 15:30:59.999,8759.02
2019-11-13 15:31:59.999,8764.06
2019-11-13 15:32:59.999,8759.5
2019-11-13 15:33:59.999,8760.36
2019-11-13 15:34:59.999,8758.42
2019-11-13 15:35:59.999,8755.17
2019-11-13 15:36:59.999,8755.0
2019-11-13 15:37:59.999,8758.44
